X,Y,Afstand (kilometers),Elevation 3D RD (referentie) (meters)
97464.00247853478,445223.07978170615,0.019599999999999996,-0.5880578430660237
97464.56816395973,445222.5140962812,0.02039999999999999,-0.5725179166721973
97464.85100667221,445222.2312535687,0.020799999999999992,-0.5557430747787158
97465.13384938469,445221.94841085625,0.02119999999999999,-0.5409180782701282
97465.41669209716,445221.66556814377,0.021599999999999987,-0.5319985326953326
97465.9823775221,445221.0998827188,0.022399999999999986,-0.5209383754473279
97466.26522023458,445220.81704000634,0.022799999999999983,-0.5150155206165715
97466.54806294705,445220.53419729386,0.02319999999999998,-0.5103340439280493
97466.83090565953,445220.2513545814,0.023599999999999982,-0.5066480246317085
97467.39659108447,445219.68566915643,0.024399999999999977,-0.49153850361654966
97467.67943379695,445219.40282644395,0.024799999999999975,-0.4472353819277062
97467.96227650942,445219.1199837315,0.025199999999999976,-0.3657842321782052
97468.2451192219,445218.837141019,0.025599999999999973,-0.29164425400694893
97468.81080464686,445218.27145559405,0.026399999999999972,-0.2431481246600151
97469.09364735933,445217.9886128816,0.02679999999999997,-0.23523197794761086
97469.3764900718,445217.70577016915,0.027199999999999967,-0.2499341130324561
97469.65933278427,445217.4229274567,0.027599999999999965,-0.29665276196096135
97470.22501820922,445216.8572420317,0.028399999999999963,-0.5676936716269535
97470.5078609217,445216.57439931924,0.02879999999999996,-0.7200811557425411
97470.79070363418,445216.29155660677,0.029199999999999962,-0.8662456049536205
97471.07354634664,445216.0087138943,0.02959999999999996,-1.016778253628226
97471.6392317716,445215.44302846934,0.03039999999999996,-1.2972893717991298
97471.92207448407,445215.16018575686,0.030799999999999956,-1.4448204754369032
97472.20491719655,445214.8773430444,0.031199999999999953,-1.584717566320815
97472.48775990903,445214.5945003319,0.031599999999999955,-1.7203731081550497
97473.05344533396,445214.02881490695,0.03239999999999995,-1.9219368404694455
97473.33628804644,445213.7459721945,0.03279999999999995,-2.0092566195062647
97473.61913075892,445213.463129482,0.033199999999999945,-2.0970472451017037
97473.9019734714,445213.1802867695,0.03359999999999994,-2.1891630413607706
97474.46765889635,445212.61460134457,0.034399999999999945,-2.3578857817793573
97474.75050160881,445212.3317586321,0.03479999999999994,-2.448007248645441
97475.03334432129,445212.0489159196,0.03519999999999994,-2.5354190666613583
97475.31618703376,445211.76607320714,0.03559999999999994,-2.613440339813976
97475.88187245872,445211.2003877822,0.03639999999999993,-2.778698504296781
97476.1647151712,445210.9175450697,0.03679999999999994,-2.8770584395137475
97476.44755788366,445210.6347023573,0.037199999999999935,-2.9749015659505504
97476.73040059613,445210.3518596448,0.03759999999999993,-3.0654260646683342
97477.29608602109,445209.78617421986,0.03839999999999993,-3.235035393045012
97477.57892873356,445209.5033315074,0.038799999999999925,-3.3103090236997055
97477.86177144604,445209.2204887949,0.03919999999999992,-3.3944107592369948
97478.14461415852,445208.9376460824,0.03959999999999993,-3.49085551972713
97478.71029958346,445208.3719606575,0.04039999999999992,-3.65487569535864
97478.99314229593,445208.089117945,0.04079999999999992,-3.736539568312836
97479.27598500841,445207.8062752325,0.04119999999999992,-3.8278117747229916
97479.55882772089,445207.52343252004,0.041599999999999915,-3.9257086145234936
97480.12451314583,445206.9577470951,0.04239999999999992,-4.1340681543260525
97480.4073558583,445206.6749043826,0.042799999999999915,-4.269124688664696
97480.69019857078,445206.39206167014,0.04319999999999991,-4.399902369903197
97480.97304128326,445206.10921895766,0.04359999999999991,-4.533236771164062
97481.53872670821,445205.5435335327,0.044399999999999905,-4.706327514984641
97481.82156942069,445205.2606908202,0.0447999999999999,-4.676029479444177
97482.10441213315,445204.97784810775,0.04519999999999991,-4.567864973205857
97482.38725484563,445204.6950053953,0.045599999999999904,-4.475703773096635
